Aboard,Date,Fatalities,Flight #,Ground,Location - Split 1,Location - Split 2,Location - Split 3,Location,Number of Records,Operator,Registration,Route,Summary,Time,Total Death,Type,cn/In,Country,Latitude,Longitude,Name
18,03-02-1953,18,,0,Muong Sai,Laos,,"Muong Sai, Laos",1,Air Outremer,F-OAFR,,Destroyed by shelling.,,18,Douglas DC-3,15283/26728,LA,19.85627,102.495496,Laos
7,12-08-1932,1,,0,Beyrouth,Lebanon,,"Beyrouth, Lebanon",1,Air Orient,F-AIQY,,,,1,CAMS 53,,LB,33.854721,35.862285,Lebanon
10,20-08-1982,10,,0,Off Castries,Saint Lucia,,"Off Castries, Saint Lucia",1,Inter Island Air Services,VP-LAE,,Crashed into the sea.,,10,Britten-Norman BN-2A Islander,160,LC,13.909444,-60.978893,Saint Lucia
15,18-03-1947,11,,0,Negombo,Sri Lanka,,"Negombo, Sri Lanka",1,Military - Royal Air Force,MW198,,"Failed engine on takeoff. Could not maintain altitude, lost control, struck trees and crashed.",,11,Avro York C1,,LK,7.873054,80.771797,Sri Lanka
40,22-06-1951,40,151,0,Near Sanoyea,Liberia,,"Near Sanoyea, Liberia",1,Pan American World Airways,N88846,Johannesburg - Accra - Monrovia - New York,"The plane crashed into a hill at 1000 ft. in a level descending attitude, 54 miles from the airport. The pilot descended below en route minimum altitude without knowing the aircraft's position. The aircraft was named Clipper Great Republic.",30-12-1899 03:25:00,40,Lockheed 049 Constellation,2046,LR,6.428055,-9.429499,Liberia
18,10-11-1989,18,,0,Maluti Mountains,Lesotho,,"Maluti Mountains, Lesotho",1,Military - Royal Lesotho Defence Force,LDF-46,,Hit a mountain.,,18,Casa 212 Aviocar,389,LS,-29.609988,28.233608,Lesotho
51,16-12-1973,51,,0,Near Vilnius,Lithuania,,"Near Vilnius, Lithuania",1,Aeroflot,CCCP-45061,,Went into a sudden dive and crashed to the ground.,,51,Tupolev TU-124,3351406,LT,55.169438,23.881275,Lithuania
77,29-09-1982,7,343,0,Luxembourg,Luxembourg,,"Luxembourg, Luxembourg",1,Aeroflot,CCCP-86470,Moscow - Luxembourg,"The aircraft swerved to the right after landing, sideswiped a water tower, crashed into a building and continued into a revine where it exploded and burned. Failure of the control mechanism on the No.1 engine reverser.",,7,Ilyushin IL-62M,72503,LU,49.815273,6.129583,Luxembourg
51,30-12-1967,44,,0,Liepaja,Latvia,,"Liepaja, Latvia",1,Aeroflot,CCCP-46215,Riga - Liepaja,The aircraft crashed during a go-around after a failed landing attempt.,30-12-1899 08:28:00,44,Antonov AN-24,67302909,LV,56.879635,24.603189,Latvia
29,11-11-1945,29,,0,Near Castel,Libya,,"Near Castel, Libya",1,Military -Royal Air Force,PJ950,,Crashed and burned after experiencing an engine fire.,30-12-1899 23:45:00,29,Short Stirling,,LY,26.3351,17.228331,Libya
2,25-10-1922,2,,0,Larache,Morocco,,"Larache, Morocco",1,Grands Express Aeriens,,,,,2,Breguet 14,,MA,31.791702,-7.09262,Morocco
8,11-04-2008,8,,0,Chrisinau,Moldova,,"Chrisinau, Moldova",1,Kata Transportation,ST-AZL,"Chrisinau, Moldova - Antalya, Turkey - Sudan","Just minutes after the take off the plane tried to return to the airport because of engine problems, but crashed about 100 metres away from the runway. Pilots tried to land the transport, which was carrying a cargo of 2.3 tons of fuel, but a wing struck a fence and electrical wires and the plane crashed and burst into flames. All eight crew members aboard were killed",30-12-1899 22:15:00,8,Antonov An-32,3009,MD,47.411631,28.369885,Moldova
3,13-01-1930,3,,0,Antananarivo,Madagascar,,"Antananarivo, Madagascar",1,Air Orient,F-AJJK,,,,3,Farman 190,,MG,-18.766947,46.869107,Madagascar
26,20-09-1950,26,,0,Kwajalein,Marshall Islands,,"Kwajalein, Marshall Islands",1,Military - U.S. Navy,56496,Kwajzalein - Tokyo,Crashed into the sea and exploded 3 minutes after taking off from Kwajalein. Possible vertigo experienced by the pilot or malfunction of the instruments.,30-12-1899 05:20:00,26,Douglas R5D-3,10624,MH,7.131474,171.184478,Marshall Islands
3,24-07-1951,3,,0,Gao,Mali,,"Gao, Mali",1,Sabena,OO-CBA,,The failure of the right engine during takeoff. A rupture of the hydraulicircuit with oil projection in the cockpit would have increased maneuver difficulties by restricting visibility in the cockpit,,3,Douglas DC-3,6327,ML,17.570692,-3.996166,Mali
30,05-03-1990,30,,0,Sukhbaata,Mongolia,,"Sukhbaata, Mongolia",1,MIAT - Mongolian Airlines,,,,,30,Antonov AN-26,,MN,46.862496,103.846656,Mongolia
14,03-08-1945,4,216,0,Fort de France,Martinique,,"Fort de France, Martinique",1,Pan American World Airways,NC15066,Port of Spain - Fort de France,The aircraft crashed while landing at Fort de France. The plane sank and 4 passengers drowned. The attempt by the pilot to land the aircraft in conditions of water surface not suitable for landing of a flying boat.,30-12-1899 10:11:00,4,Sikorsky S-43 (flying boat),4306,MQ,14.641528,-61.024174,Martinique
2,06-10-1927,2,,0,Thies,Mauritania,,"Thies, Mauritania",1,Lignes Aeriennes Latecoere,F-AGBN,,,,2,Breguet 14,,MR,21.00789,-10.940835,Mauritania
4,05-04-1946,4,,16,Rabat,Malta,,"Rabat, Malta",1,Military - Royal British Navy,HE-274,,"The Wellington was engaged in exercises with a Spitfire fighter. The fighter was using the Wellington as a dummy target and the Wellington was to take evasive action. When the bomber was between 4,000 and 5,000 feet altitude, it turned to port and started diving at 20 degrees. It kept on loosing altitude till it crashed into houses in the center of Rabat. No distress signal was transmitted to either the fighter pilot or ground control.  The probable cause of the accident was leakage of hydraulifluid which somehow heated and released fumes in the cockpit rendering the crew unconcious.",30-12-1899 11:15:00,20,Vickers Wellington bomber,,MT,35.937496,14.375416,Malta
10,06-11-1987,10,,0,Ulongue,Malawi,,"Ulongue, Malawi",1,Air Malawi,7Q-YMB,Blantyre - Lilongwe,Shot down by rebels.,30-12-1899 08:30:00,10,Shorts SC-7 Skyvan 3-100,SH-1971,MW,-13.254308,34.301525,Malawi
4,04-11-1929,4,,0,Cerro del Carbon,Mexico,,"Cerro del Carbon, Mexico",1,Corp. Aeronautica de Transportes,NC46M,Mexico City - Juarez,The mail plane crashed in dense fog.,30-12-1899 07:00:00,4,Lockheed Vega 5,097,MX,23.634501,-102.552784,Mexico
12,25-08-1950,12,,0,Kampong Jenera,Malaysia,,"Kampong Jenera, Malaysia",1,Military - Royal Air Force,KN630,"Changi, Singapore - Kota Baru",The plane crashed in the steep forested foothills in the Gua Musang district.,,12,Douglas C-47B,16538/33286,MY,4.210484,101.975766,Malaysia
5,15-05-1985,5,,0,Vilanculos,Mozambique,,"Vilanculos, Mozambique",1,Empresa Nacional de Transp.  Trabalho Aereo,C9-AMV,,Crashed while attempting an emergency landing along a beach.,,5,Britten-Norman BN-2 Islander,219,MZ,-18.665695,35.529562,Mozambique
4,26-06-2003,4,,0,Near Rooisand Desert Ranch,Namibia,,"Near Rooisand Desert Ranch, Namibia",1,ComvaAviation,V5-CAS,,Shortly after taking off the air ambulance hit a hill side in the Gamsberg Mountains.,30-12-1899 19:30:00,4,Cessna 208B Grand Caravan,208B-0549,NA,-22.95764,18.49041,Namibia
4,04-03-1977,2,,0,Niamey,Niger,,"Niamey, Niger",1,Overseas National Airways,N8635,"Paris, France - Niamey, Nigher",The cargo plane crashed short of the runway while attempting to land.,30-12-1899 03:35:00,2,McDonnell Douglas DC-8-63CF,46050/430,NE,17.607789,8.081666,Niger
18,09-06-1946,18,,0,Near Abeokuta,Nigeria,,"Near Abeokuta, Nigeria",1,Military -Royal Air Force,KG747,Kano - Ikeja,"Flying low to avoid poor weather, the aircraft crashed while en route from Kano to Ikeja.",30-12-1899 13:15:00,18,Douglas C-47 Dakota,25291,NG,9.081999,8.675277,Nigeria
16,29-11-1944,16,,0,Tegucigalpa,Nicaragua,,"Tegucigalpa, Nicaragua",1,TACA,XH-TAN,,,,16,Ford 5-AT-B Tri-Motor,,NI,12.865416,-85.207229,Nicaragua
1,24-07-1928,1,,0,Waalhaven harbor,Netherlands,,"Waalhaven harbor, Netherlands",1,KLM Royal Dutch Airlines,H-NABR,,The plane crashed into the Waalhaven harbor.,,1,Fokker (KLM) F.III,1533 (KLM-1),NL,52.132633,5.291266,Netherlands
7,16-06-1936,7,,0,Mt. Lihesten,Norway,,"Mt. Lihesten, Norway",1,Den Norske Luftfartskole,LN-DAE,Bergen - Trondheim,Crashed into the side of a mountain in fog.,,7,Junkers JU-52/3m,4077,NO,60.472024,8.468946,Norway
3,30-08-1955,2,,0,Simra,Nepal,,"Simra, Nepal",1,Kalinga Airlines,VT-AZX,,"The cargo plane lifted off too early, stalled and crashed. The pilot tried to avoid a person on the runway.",,2,Douglas C-47A,13285,NP,28.394857,84.124008,Nepal
1,08-02-1931,1,,0,Wairoa,New Zealand,,"Wairoa, New Zealand",1,Dominion Air Lines,ZK-ACA,,,,1,Desoutter II,,NZ,-40.900557,174.885971,New Zealand
12,09-08-1949,12,,0,Salalah,Oman,,"Salalah, Oman",1,Military - Royal Air Force,KN336,,Crashed short of the runway.,,12,Douglas C-47B,15901/32649,OM,21.512583,55.923255,Oman
14,03-08-1937,14,,0,Off Cristobal,Panama,,"Off Cristobal, Panama",1,Pan American Grace Airways,NC15065,"Santiago, Chili - Cristobal, Panama",The flying boat plunged into the ocean 20 miles off of Cristobal. The plane probably struck the water at high speed and was destroyed by an immediate explosion and fire.,,14,Sikorsky S-43,4305,PA,8.537981,-80.782127,Panama
15,22-03-1934,3,,0,Near Lima,Peru,,"Near Lima, Peru",1,Pan American Grace Airlines,NC407H,,Crashed on take off due to engine failure.,,3,Ford 5-AT-C Tri-Motor,5-AT-066,PE,-9.189967,-75.015152,Peru
22,19-04-1991,11,,0,Off Nuka Hiva,French Polynesia,,"Off Nuka Hiva, French Polynesia",1,Air Tahiti,F-OHAB,Hiva Ou - Nuku Hiva,Crashed into the sea after taking off from Hiva Ou and experiencing engine failure. The crew didn't recognize the failure and concentrated on the low oil pressure warning. The approach was abandoned at the very last moment it was decided to carry out an unprepared ditching. The crew's performance may have been impacted by alcohol consumption.,30-12-1899 11:56:00,11,Dornier Do-228-212,8196,PF,-17.679742,-149.406843,French Polynesia
29,18-09-1945,29,,0,Puncak Jaya,Papua New Guinea,,"Puncak Jaya, Papua New Guinea",1,Military - Royal Australian Air Force,A65-61,,,,29,Douglas C-47B-5-DK,14554/25999,PG,-6.314993,143.95555,Papua New Guinea
20,05-02-1946,20,,0,Negros,Philippines,,"Negros, Philippines",1,Military - U.S. Army Air Forces,,Iloilo - Cebu,Crashed into mountainous terrain while en route.,,20,Douglas C-47,,PH,12.879721,121.774017,Philippines
4,01-08-1948,4,,0,Karachi,Pakistan,,"Karachi, Pakistan",1,Onzeair,AP-ACM,,"Cargo flight. An error in judgement on the part of the pilot in allowing the aircraft to stall while coming in to land. The contributory causes were probably overload, badly loaded with CofG too far aft, movement of load due to it not being secured.",,4,Avro 691 Lancastrian,,PK,30.375321,69.345116,Pakistan
16,15-11-1951,16,,0,Near Lodz,Poland,,"Near Lodz, Poland",1,LOT Polish Airlines,SP-LCG,,Crashed during takeoff.,,16,Douglas DC-3,1965,PL,51.919438,19.145136,Poland
15,03-10-1941,2,203,0,San Juan,Puerto Rico,,"San Juan, Puerto Rico",1,Pan American World Airways,NC15376,Miami - Buenos Aires,"Following the approach, the aircraft contacted the water in an unduly nose-low attitude while moving sideways relative to the water.  Almost immediately after first contact with the water, the aircraft swerved violently to the right and broke into several major sections. The failure of the captain to exercise requisite caution and skill in landing. A contributing factor was the smooth surface of the water, which rendered difficult, the captain's depth perception as well as the exact determination of any lateral movement of the aircraft.",30-12-1899 17:48:00,2,Sikorsky S-42B (flying boat),4206,PR,18.220833,-66.590149,Puerto Rico
39,22-02-1943,25,9035,0,Lisbon,Portugal,,"Lisbon, Portugal",1,Pan American World Airways,NC18603,New York City - Lisbon,"Crashed into the Targus River in poor weather while attempting to land. Inadvertent contact of the left wing tip of the aircraft with the water while making a descending turn preparatory to landing. The aircraft was named the Yankee Clipper.  Novelist Ben Robertson and singer, actress Tamara Drasin, 34, among those killed. Actress Jane Froman seriously injured.",30-12-1899 06:47:00,25,Boeing B-314 (flying boat),1990,PT,39.399872,-8.224454,Portugal
24,16-06-1955,16,,0,Near Asuncion,Paraguay,,"Near Asuncion, Paraguay",1,Panair do Brasil,PP-PDJ,Sao Paulo - Asuncion,Crashed on final approach. Pilot fatigue. The pilot did not follow the recommended procedure for instrument final approach and he descended below the height prescribed in the final approach chart.,30-12-1899 01:15:00,16,Lockheed 049-46-21 Constellation,2032,PY,-23.442503,-58.443832,Paraguay
64,14-03-1979,45,600,0,Near Doha Airport,Qatar,,"Near Doha Airport, Qatar",1,Alia Royal Jordanian Airlines,JY-ADU,Amman - Doha,,,45,Boeing B-727-2D3,20886/1061,QA,25.354826,51.183884,Qatar
2,27-08-1923,2,,0,Bucharest,Romania,,"Bucharest, Romania",1,Campagnie France Roumaine,F-AEGN,,,,2,Blériot Spad 46,,RO,45.943161,24.96676,Romania
1,24-08-1929,1,,0,Sochi,Russia,,"Sochi, Russia",1,Ukvozduchput,CCCP-217,,,,1,Kalinin K-4,,RU,61.52401,105.318756,Russia
14,03-12-1987,14,,0,Near Kishwati,Rwanda,,"Near Kishwati, Rwanda",1,Cooper Skybird Air Charters,5Y-EJS,,Crashed shortly after takeoff into a remote mountainous area.,,14,Cessna 404 Titan,,RW,-1.940278,29.873888,Rwanda
37,30-12-1956,11,,0,Dhahran,Saudi Arabia,,"Dhahran, Saudi Arabia",1,Military - U.S. Air Force,54-0165,,Crashed and burned while attempting to land.,30-12-1899 15:00:00,11,Lockheed C-121C Super Constellation,54-0165,SA,23.885942,45.079162,Saudi Arabia
11,22-10-1978,11,,0,Off Bellona,Solomon Islands,,"Off Bellona, Solomon Islands",1,Solomon Islands Airlines,H4-AAC,,,,11,Britten Norman BN-2A Trislander,0613,SB,-9.64571,160.156194,Solomon Islands
9,02-08-1937,9,,0,Wadi Halfa,Sudan,,"Wadi Halfa, Sudan",1,Ala Littoria,I-SUSA,"Rome, Italy - Kartoum",Crashed into a building on takeoff.,,9,Savoia-Marchetti SM73,30014,SD,12.862807,30.217636,Sudan
15,09-06-1936,1,,0,Malmo,Sweden,,"Malmo, Sweden",1,A B Aerotransport,SE-ABA,Malmo - Amsterdam,All four motors of the aircraft quit while taking off. The pilot attempted to land but crashed into a house. First fatal aviation accident in Sweden.,,1,Fokker F-XXII,,SE,60.128161,18.643501,Sweden
40,13-03-1954,33,,0,Kallang Airport,Singapore,,"Kallang Airport, Singapore",1,British Overseas Airways,G-ALAM,Australia - London,"Crashed short of the runway, hit a wall, overturned and caught fire. Improper procedures used in landing.  Pilot fatigue.",,33,Lockheed 749A-79-33 Constellation,2554,SG,1.352083,103.819836,Singapore
4,03-06-1954,1,,0,Near Maribor,Slovenia,,"Near Maribor, Slovenia",1,Sabena,OO-CBY,"Blackbushe, UK - Beogard, Serbia",The cargo plane ran off the end of the runway and crashed after being attacked by a fighter jet.,,1,Douglas C-47A,11982,SI,46.151241,14.995463,Slovenia
4,12-12-1954,4,,0,Bratislava,Slovakia,,"Bratislava, Slovakia",1,Ceskoslovenské Aerolinie,OK-WDK,,,,4,Douglas C-47A,12549,SK,48.669026,19.699024,Slovakia
24,28-06-2004,24,,0,Near Yengema,Sierra Leone,,"Near Yengema, Sierra Leone",1,United Nations -  UTair Charter,RA-27113,Freetown - Kailahun,The helicopter crashed into a slope of a mountain in a forested area. The helicopter took off from the Sierra Leone capital but never arrived at its destination in the western city of Kailahun.,30-12-1899 09:17:00,24,Mi-8MTV-1,,SL,8.460555,-11.779889,Sierra Leone
15,13-04-1947,6,,0,Off Dakar,Senegal,,"Off Dakar, Senegal",1,British South American Airways,G-AHEZ,Lisbon - Dakar,The plane crashed while making a third landing attempt. Unwise decision to try a third landing attempt. No approach lights. No radio facilities.,,6,Avro 685 York I,1303,SN,14.497401,-14.452362,Senegal
15,12-04-1964,15,,0,Hargeisa,Somalia,,"Hargeisa, Somalia",1,Aden Airways,VR-AAM,,,,15,Douglas DC-3,15530/26975,SO,5.152149,46.199616,Somalia
10,10-02-2001,10,,0,Jakobkondre,Suriname,,"Jakobkondre, Suriname",1,Gum Air Charter,PZ-TBP,Paramaribo - Jakobkondre,"After losing radio contact with the airport, the aircraft was observed flying low before crashed into a mountainside 2 nm from Jakobkondre.",,10,GAF Nomad N24A,N24A-73,SR,3.919305,-56.027783,Suriname
20,30-08-1975,20,,0,Off Punta Amapala,El Salvador,,"Off Punta Amapala, El Salvador",1,Military - Nicaraguan Air Force,412,,Crashed into the PacifiOcean after running out of fuel after diverting to an alternate airport.,,20,Douglas C-47,,SV,13.794185,-88.89653,El Salvador
7,20-12-1934,7,,0,Rutbah Wells,Syria,,"Rutbah Wells, Syria",1,KLM Royal Dutch Airlines,PH-AJU,"Amsterdam - Batavia, Java",Crashed and burned about half-way between Baghdad and Gaza. The aircraft was named 'Univer' (Dutch word for stork).,30-12-1899 02:30:00,7,Douglas DC-2-115A,1317,SY,34.802075,38.996815,Syria
6,06-11-1952,5,,0,Lake Chad,Chad,,"Lake Chad, Chad",1,Union Aeromaritime de Transport,F-BFVO,Fort Lamy - Beirut,,,5,Douglas C-54B-1-DC,10498,TD,15.454166,18.732207,Chad
7,06-12-1931,5,,0,Bangkok,Thailand,,"Bangkok, Thailand",1,KLM Royal Dutch Airlines,PH-AFO,,Did not gain altitude while taking off. The landing gear hit the top of a dam and the plane crashed.,,5,Fokker F-VIIb-3M,5226,TH,15.870032,100.992541,Thailand
86,28-08-1993,82,,0,Khorag,Tajikistan,,"Khorag, Tajikistan",1,Tajikistan Airlines,CCCP-87995,Khorag - Dushanbe,"While taking off, the aircraft, overloaded by 3 times the number of people the plane was designed for, never got airborne, overran the runway and crashed into the Pyanj river. The crew was coerced into taking off by armed men who commandeered the plane.",30-12-1899 10:45:00,82,Yakovlev YAK-40,9541944,TJ,38.861034,71.276093,Tajikistan
15,19-11-1990,15,,0,Near Ashkhabad,Turkmenistan,USSR,"Near Ashkhabad, Turkmenistan, USSR",1,Aeroflot,CCCP-22389,,Crashed landed after experiencing severe turbulence and engine failure.,,15,Mil Mi-8T,,TM,38.969719,59.556278,Turkmenistan
